ID,Player Name,picture,Flag,Position,Team_Image,Overall
212188, T. Werner,https://cdn.sofifa.com/players/212/188/20_60.png,https://cdn.sofifa.com/flags/de.png,ST,https://cdn.sofifa.com/teams/112172/light_30.png,86
228702, F. de Jong,https://cdn.sofifa.com/players/228/702/20_60.png,https://cdn.sofifa.com/flags/nl.png,CM,https://cdn.sofifa.com/teams/241/light_30.png,86
220814, L. Hernández,https://cdn.sofifa.com/players/220/814/20_60.png,https://cdn.sofifa.com/flags/fr.png,CB,https://cdn.sofifa.com/teams/21/light_30.png,84
235243, M. de Ligt,https://cdn.sofifa.com/players/235/243/20_60.png,https://cdn.sofifa.com/flags/nl.png,CB,https://cdn.sofifa.com/teams/45/light_30.png,85
238067, N. Zaniolo,https://cdn.sofifa.com/players/238/067/20_60.png,https://cdn.sofifa.com/flags/it.png,CAM,https://cdn.sofifa.com/teams/52/light_30.png,77
247888, S. Esposito,https://cdn.sofifa.com/players/247/888/20_60.png,https://cdn.sofifa.com/flags/it.png,ST,https://cdn.sofifa.com/teams/44/light_30.png,67
236792, T. Souček,https://cdn.sofifa.com/players/236/792/20_60.png,https://cdn.sofifa.com/flags/cz.png,CDM,https://cdn.sofifa.com/teams/19/light_30.png,81
203263, H. Maguire,https://cdn.sofifa.com/players/203/263/20_60.png,https://cdn.sofifa.com/flags/gb-eng.png,CB,https://cdn.sofifa.com/teams/11/light_30.png,83
245155, M. Kudus,https://cdn.sofifa.com/players/245/155/20_60.png,https://cdn.sofifa.com/flags/gh.png,CF,https://cdn.sofifa.com/teams/1788/light_30.png,71
252961, T. Kouassi,https://cdn.sofifa.com/players/252/961/20_60.png,https://cdn.sofifa.com/flags/fr.png,CB,https://cdn.sofifa.com/teams/73/light_30.png,71
228092, S. Berge,https://cdn.sofifa.com/players/228/092/20_60.png,https://cdn.sofifa.com/flags/no.png,CDM,https://cdn.sofifa.com/teams/1794/light_30.png,79
230658, Arthur,https://cdn.sofifa.com/players/230/658/20_60.png,https://cdn.sofifa.com/flags/br.png,CM,https://cdn.sofifa.com/teams/241/light_30.png,85
233306, D. Henderson,https://cdn.sofifa.com/players/233/306/20_60.png,https://cdn.sofifa.com/flags/gb-eng.png,GK,https://cdn.sofifa.com/teams/1794/light_30.png,79
226166, N. Mukiele,https://cdn.sofifa.com/players/226/166/20_60.png,https://cdn.sofifa.com/flags/fr.png,CB,https://cdn.sofifa.com/teams/112172/light_30.png,78
223848, S. Milinković-Savić,https://cdn.sofifa.com/players/223/848/20_60.png,https://cdn.sofifa.com/flags/rs.png,CM,https://cdn.sofifa.com/teams/46/light_30.png,85
232756, F. Tomori,https://cdn.sofifa.com/players/232/756/20_60.png,https://cdn.sofifa.com/flags/gb-eng.png,CB,https://cdn.sofifa.com/teams/5/light_30.png,77
208670, H. Ziyech,https://cdn.sofifa.com/players/208/670/20_60.png,https://cdn.sofifa.com/flags/ma.png,CAM,https://cdn.sofifa.com/teams/245/light_30.png,86
231352, T. Abraham,https://cdn.sofifa.com/players/231/352/20_60.png,https://cdn.sofifa.com/flags/gb-eng.png,ST,https://cdn.sofifa.com/teams/5/light_30.png,79
221363, D. van de Beek,https://cdn.sofifa.com/players/221/363/20_60.png,https://cdn.sofifa.com/flags/nl.png,CM,https://cdn.sofifa.com/teams/245/light_30.png,83
233866, O. Edouard,https://cdn.sofifa.com/players/233/866/20_60.png,https://cdn.sofifa.com/flags/fr.png,ST,https://cdn.sofifa.com/teams/78/light_30.png,76
237238, S. McTominay,https://cdn.sofifa.com/players/237/238/20_60.png,https://cdn.sofifa.com/flags/gb-sct.png,CM,https://cdn.sofifa.com/teams/11/light_30.png,79
243854, M. Simakan,https://cdn.sofifa.com/players/243/854/20_60.png,https://cdn.sofifa.com/flags/fr.png,CB,https://cdn.sofifa.com/teams/76/light_30.png,72
229906, L. Bailey,https://cdn.sofifa.com/players/229/906/20_60.png,https://cdn.sofifa.com/flags/jm.png,LM,https://cdn.sofifa.com/teams/32/light_30.png,81
231447, D. Malen,https://cdn.sofifa.com/players/231/447/20_60.png,https://cdn.sofifa.com/flags/nl.png,ST,https://cdn.sofifa.com/teams/247/light_30.png,77
234574, Diogo Dalot,https://cdn.sofifa.com/players/234/574/20_60.png,https://cdn.sofifa.com/flags/pt.png,RB,https://cdn.sofifa.com/teams/11/light_30.png,75
246419, Y. Verschaeren,https://cdn.sofifa.com/players/246/419/20_60.png,https://cdn.sofifa.com/flags/be.png,CAM,https://cdn.sofifa.com/teams/229/light_30.png,73
231443, O. Dembélé,https://cdn.sofifa.com/players/231/443/20_60.png,https://cdn.sofifa.com/flags/fr.png,LW,https://cdn.sofifa.com/teams/241/light_30.png,83
231443, O. Dembélé,https://cdn.sofifa.com/players/231/443/20_60.png,https://cdn.sofifa.com/flags/fr.png,LW,https://cdn.sofifa.com/teams/241/light_30.png,83
243282, D. McNeil,https://cdn.sofifa.com/players/243/282/20_60.png,https://cdn.sofifa.com/flags/gb-eng.png,LM,https://cdn.sofifa.com/teams/1796/light_30.png,77
232432, L. Jović,https://cdn.sofifa.com/players/232/432/20_60.png,https://cdn.sofifa.com/flags/rs.png,ST,https://cdn.sofifa.com/teams/243/light_30.png,82
232363, M. Škriniar,https://cdn.sofifa.com/players/232/363/20_60.png,https://cdn.sofifa.com/flags/sk.png,CB,https://cdn.sofifa.com/teams/44/light_30.png,86
216201, Iñaki Williams,https://cdn.sofifa.com/players/216/201/20_60.png,https://cdn.sofifa.com/flags/es.png,ST,https://cdn.sofifa.com/teams/448/light_30.png,82
220018, A. Rebić,https://cdn.sofifa.com/players/220/018/20_60.png,https://cdn.sofifa.com/flags/hr.png,ST,https://cdn.sofifa.com/teams/47/light_30.png,79
203747, Héctor Bellerín,https://cdn.sofifa.com/players/203/747/20_60.png,https://cdn.sofifa.com/flags/es.png,RB,https://cdn.sofifa.com/teams/1/light_30.png,79
222665, M. Ødegaard,https://cdn.sofifa.com/players/222/665/20_60.png,https://cdn.sofifa.com/flags/no.png,CAM,https://cdn.sofifa.com/teams/457/light_30.png,82
210413, A. Romagnoli,https://cdn.sofifa.com/players/210/413/20_60.png,https://cdn.sofifa.com/flags/it.png,CB,https://cdn.sofifa.com/teams/47/light_30.png,83
